id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,4hm13md,produk sudah memiliki izin BPOM ALFIAH Original AL AFIAH ASLI berkhasiat lebih bagus - majukan produk Indonesia,Herbal,Baru,4.5,2,9998,0,4,0,99100,99100,0,"STOK BANYAK yaa kaka,,<br><br/><br><br/>Sekilas Info :<br><br/><br><br/>- Al Afiah Liquid Hygiene For Man Sudah Mengantongi Izin Edar Dari Badan POM (BPOM) Jadi Sudah Tentu Pasti 100% Aman.<br><br/><br><br/>- HARGA LEBIH MAHAL Karena Kualitas NO 01 dan Sudah Berizin BPOM Jadi 100% Aman Dan Nyaman Buat ANDA.<br><br/><br><br/>Kami = Portal Grosir<br><br/>Hanya Menjual Produk Original Dan asli, Dan dijamin yang kami jual Original Asli Sesuai Foto Iklan Kami.<br><br/><br><br/>1. Produk dijamin 100 Persen Asli !!<br><br/>2. Pengiriman Cepat !!<br><br/>3. Packing Rapih, Kokoh dan RAHASIA!! <br><br/><br><br/>Minyak Hajar Black Al Afiah Liquid Hygiene For Man<br><br/><br><br/>Izin Badan POM : 18171600054<br><br/>Diproduksi Oleh : CV An Naufa<br><br/>Distribusikan Oleh : Al Afiah <br><br/><br><br/>Baca lebih lengkap pada brosur yg ada di dalam kemasannya yaa kakak,,,,"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,4h3pe5v,PESENAN KHUSUS RIQUES Riques,Produk Kesehatan Lainnya,Baru,5,5,999978,0,13,0,19500,19500,0,"Pesenan khusus Riques,,<br><br/>silahkan di Order mas atau mbak, barang ready dan langsung saya kirimkan hari ini,,,"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,4g6fs1d,Vit D3 - vitamin-vitamin D3 - IMPOR Original USA vitamin D 3 5000 IU California Gold Nutrition - Mood Booster Imun,Produk Kesehatan Lainnya,Baru,4.9,50,649,31,411919,0,150300,150300,0,"Mendukung pertahanan sistem imun tubuh<br><br/>Supplemen untuk Kesehatan Tulang, gigi dan jantung yang kuat<br><br/>Penunjang Struktur tubuh<br><br/>-<br><br/>Merek: USA California GOLD Nutrition<br><br/>Komposisi: Vitamin D3 5.000<br><br/><br><br/>Bentuk Vitamin:  D3<br><br/> (5000 IU)<br><br/>Diproduksi di California, AS<br><br/>90 Softgels<br><br/>Takaran Konsumsi: 1 Softgel, 1-3 kali sehari<br><br/><br><br/>100% Original Imported<br><br/>Expired: 2025<br><br/>-<br><br/>Ready Stock, Stok sistem selalu update dengan stok fisik.<br><br/><br><br/>Informasi Produk<br><br/>Vitamin D3 adalah bentuk terbaik dari Vitamin D.<br><br/>Yang juga disebut Vitamin Matahari, karena diproduksi dari kulit sebagai reaksi setelah terpapat sinar matahari.<br><br/>Vitamin D penting sebagai vitamin untuk proses metabolisme dalam tubuh, kesehatan tulang, gigi dan sistem kardiovaskular.<br><br/>Mempermudah penyerapan kalsium dan meningkatkan sistem imun.<br><br/>-<br><br/>California Gold Nutrition Vitamin D3 memiliki fitur Vitamin D3 sebagai cholecalciferol dari lanolin dalam softgels<br><br/><br><br/>By PORTAL GROSIR HERBAL"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,4g6fp1j,Vitamin D3 asli supplement Vitamin D3 - Vit D3 - Vitamin C - Mendukung pertahanan sistem imun tubuh - Vitamin terbaik dari vitamin D,Produk Kesehatan Lainnya,Baru,5,8,8342844,20,412155,0,150300,150300,0,"Mendukung pertahanan sistem imun tubuh<br><br/>Supplemen untuk Kesehatan Tulang, gigi dan jantung yang kuat<br><br/>Penunjang Struktur tubuh<br><br/>-<br><br/>Merek: USA California GOLD Nutrition<br><br/>Komposisi: Vitamin D3 5.000<br><br/><br><br/>Bentuk Vitamin:  D3<br><br/> (5000 IU)<br><br/>Diproduksi di California, AS<br><br/>90 Softgels<br><br/>Takaran Konsumsi: 1 Softgel, 1-3 kali sehari<br><br/><br><br/>100% Original Imported<br><br/>Expired: 2025<br><br/>-<br><br/>Ready Stock, Stok sistem selalu update dengan stok fisik.<br><br/><br><br/>Informasi Produk<br><br/>Vitamin D3 adalah bentuk terbaik dari Vitamin D.<br><br/>Yang juga disebut Vitamin Matahari, karena diproduksi dari kulit sebagai reaksi setelah terpapat sinar matahari.<br><br/>Vitamin D penting sebagai vitamin untuk proses metabolisme dalam tubuh, kesehatan tulang, gigi dan sistem kardiovaskular.<br><br/>Mempermudah penyerapan kalsium dan meningkatkan sistem imun.<br><br/>-<br><br/>California Gold Nutrition Vitamin D3 memiliki fitur Vitamin D3 sebagai cholecalciferol dari lanolin dalam softgels<br><br/><br><br/>By PORTAL GROSIR HERBAL"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,4fnjnl4,PESENAN KHUSUS RIQUES,Produk Kesehatan Lainnya,Baru,4.5,6,999987,1,13,0,19500,19500,0,"Pesenan khusus Riques,,<br><br/>silahkan di Order mas atau mbak, barang ready dan langsung saya kirimkan hari ini,,,"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,4fcv487,TIANMA TU CHUNG Seven Leave GINSENG OBAT REMATIK Pegal linu pegal-pegal tulang bengkak sendi sakit tulang urat - kaki kram kaki - Pegal linu,Vitamin,Baru,5,3,999994,4,5,0,59900,59900,0,"Barang sesuai gambar<br><br/><br><br/>Seven Leave Ginseng Kemasan Baru<br><br/><br><br/>Harga / Botol isi 48 pil<br><br/><br><br/>- Kami Jamin PRODUK ORIGINAL / ASLI<br><br/>- Pengiriman Cepat dan PACKING rapih <br><br/>- GARANSI UANG KEMBALI jika barang yang kami kirim tidak sampai tujuan<br><br/><br><br/>Khasiat dan kegunaan:<br><br/>Untuk menghilangkan penyakit segal-segal tulang, bengkak sendi, sakit tulang belakan, sakit urat, sakit tangan dan kaki<br><br/><br><br/>Cara pakai dan dosis:<br><br/>Diminum sehari 3 x 3 pil sesudah makan dengan air hangat<br><br/><br><br/>Perhatian:<br><br/>Wanita hamil dilarang mengkonsumsi obat ini"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,47jwll2,Kapsul zaitun Original olive oil extra virgin BPOM - ekstrak minyak zaitun asli - Extrak virgin oil zaitun - Minyak Zaitun murni,Produk Kesehatan Lainnya,Baru,4.9,14,8755328,15,3022,0,43100,43100,0,"Kunjungi Toko PORTAL GROSIR HERBAL Untuk melihat Produk-Produk lainnya<br><br/>===========================================<br><br/>kemasan : Botol Plastik isi 100 kapsul<br><br/><br><br/>Minyak Zaitun Palestin adalah minyak zaitun<br><br/>extrak virgin yang dibuat dari bahan baku<br><br/>100% minyak zaitun berkualitas tinggi.<br><br/><br><br/>KOMPOSISI:<br><br/><br><br/>100% Minyak Zaitun<br><br/>KHASIAT:<br><br/>Menurunkan total kadar kolesterol berbahaya<br><br/>Menguatkan kantung empedu dan menurunkan<br><br/>asam lambung<br><br/>Mencegah timbulnya berbagai macam kanker<br><br/>Mengurangi terjadinya penyumbatan dan<br><br/>penebalan pembuluh darah<br><br/>Meredakan demam, batuk dan penawar racun<br><br/>Sebagai anti oksidan yang dapat mengurangi<br><br/>efek buruk sinar UV, polusi debu dan racun<br><br/>pada kulit<br><br/>Menghilangkan rasa sakit pada waktu haid<br><br/>Sebagai obat luar, dapat berfungsi:<br><br/>Mencegah kerontokan rambut, membunuh<br><br/>kutu, melembabkan kulit dan bias digunakan<br><br/>sebagai minyak urut.<br><br/><br><br/>ATURAN PAKAI:<br><br/>Kesehatan &amp; stamina : 1 kapsul / hari<br><br/>Penyakit ringan : 2 kapsul / hari<br><br/>Penyakit kronis : 3 kapsul / hari<br><br/>Anak-anak : 1 kapsul / hari"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,47jvuyl,Extra virgin olive oil - minyak zaitun - minyak zaetun - ZAITUN ORIGINAL - ZAITUN ASLI Atasi - kolesterol darah tinggi alergi kulit anti oksidan,Produk Kesehatan Lainnya,Baru,5,4,8755349,4,3001,0,43100,43100,0,"Kunjungi Toko PORTAL GROSIR HERBAL Untuk melihat Produk-Produk lainnya<br><br/>===========================================<br><br/>kemasan : Botol Plastik isi 100 kapsul<br><br/><br><br/>Minyak Zaitun Palestin adalah minyak zaitun<br><br/>extrak virgin yang dibuat dari bahan baku<br><br/>100% minyak zaitun berkualitas tinggi.<br><br/><br><br/>KOMPOSISI:<br><br/><br><br/>100% Minyak Zaitun<br><br/>KHASIAT:<br><br/>Menurunkan total kadar kolesterol berbahaya<br><br/>Menguatkan kantung empedu dan menurunkan<br><br/>asam lambung<br><br/>Mencegah timbulnya berbagai macam kanker<br><br/>Mengurangi terjadinya penyumbatan dan<br><br/>penebalan pembuluh darah<br><br/>Meredakan demam, batuk dan penawar racun<br><br/>Sebagai anti oksidan yang dapat mengurangi<br><br/>efek buruk sinar UV, polusi debu dan racun<br><br/>pada kulit<br><br/>Menghilangkan rasa sakit pada waktu haid<br><br/>Sebagai obat luar, dapat berfungsi:<br><br/>Mencegah kerontokan rambut, membunuh<br><br/>kutu, melembabkan kulit dan bias digunakan<br><br/>sebagai minyak urut.<br><br/><br><br/>ATURAN PAKAI:<br><br/>Kesehatan &amp; stamina : 1 kapsul / hari<br><br/>Penyakit ringan : 2 kapsul / hari<br><br/>Penyakit kronis : 3 kapsul / hari<br><br/>Anak-anak : 1 kapsul / hari"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,47jvjwt,Extrak minyak zaitun - Extra virgin olive oil zaitun - minyak zaitun kapsul - minyak zaetun - ZAITUN ORIGINAL - ZAITUN ASLI EXTRAK,Produk Kesehatan Lainnya,Baru,5,10,8753392,8,4958,0,43100,43100,0,"Kunjungi Toko PORTAL GROSIR HERBAL Untuk melihat Produk-Produk lainnya<br><br/>===========================================<br><br/>kemasan : Botol Plastik isi 100 kapsul<br><br/><br><br/>Minyak Zaitun Palestin adalah minyak zaitun<br><br/>extrak virgin yang dibuat dari bahan baku<br><br/>100% minyak zaitun berkualitas tinggi.<br><br/><br><br/>KOMPOSISI:<br><br/><br><br/>100% Minyak Zaitun<br><br/>KHASIAT:<br><br/>Menurunkan total kadar kolesterol berbahaya<br><br/>Menguatkan kantung empedu dan menurunkan<br><br/>asam lambung<br><br/>Mencegah timbulnya berbagai macam kanker<br><br/>Mengurangi terjadinya penyumbatan dan<br><br/>penebalan pembuluh darah<br><br/>Meredakan demam, batuk dan penawar racun<br><br/>Sebagai anti oksidan yang dapat mengurangi<br><br/>efek buruk sinar UV, polusi debu dan racun<br><br/>pada kulit<br><br/>Menghilangkan rasa sakit pada waktu haid<br><br/>Sebagai obat luar, dapat berfungsi:<br><br/>Mencegah kerontokan rambut, membunuh<br><br/>kutu, melembabkan kulit dan bias digunakan<br><br/>sebagai minyak urut.<br><br/><br><br/>ATURAN PAKAI:<br><br/>Kesehatan &amp; stamina : 1 kapsul / hari<br><br/>Penyakit ringan : 2 kapsul / hari<br><br/>Penyakit kronis : 3 kapsul / hari<br><br/>Anak-anak : 1 kapsul / hari"
354085936,portal_grosir_herbal,Portal Grosir Herbal,Recommended Seller,platinum,47jpui8,GURAH CAIR pria-wanita atasi Batuk - pilek - berlendir - sesak asthma - hidung pilek - suara menjadi jernih - suara halus - suaranya merdu,Produk Kesehatan Lainnya,Baru,4.9,19,9796247,30,3016,0,50100,50100,0,Gurah Tetes Hidung Az Zahra Original yaa...Dijamin !!<br><br/><br><br/>Untuk Pria dan Wanita - Khusus Dewasa<br><br/><br><br/>Merupakan pengobatan tradisional asli indonesia dan solusi kesehatan aman yang terbukti sejak zaman nenek moyang diwarisi secara turun temurun sehingga sampai kepada kita<br><br/><br><br/>Khasiat :<br><br/>- Menjernihkan suara<br><br/>- Mengencerkan dahak<br><br/>- Mengobati flu dan bronchitis<br><br/>- Mengobati sinusitis dan polip<br><br/>- Mengobati sakit kepala sebelah (migrain)<br><br/>- Mengobati sakit kepala menahun<br><br/>- Mengobati sesak nafas dan asma<br><br/>- Meningkatkan daya pikir<br><br/><br><br/>Komposisi : <br><br/>- Madu 25%<br><br/>- Sari kurma 15%<br><br/>- Srigunggu 30%<br><br/>- Bahan lain sampai 100%<br><br/><br><br/>Dinkes P.IRT No. 2133172010237-18<br><br/>Diproduksi oleh : CV. Az Zahra Group
